Standard_Number,Description,Label,Catalog,Edition_Date,Type,English?,Category,Topic,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
25,Meters for Flammable And Combustible Liquids And Lp-Gas / Compteurs De Liquides Inflammables Et Combustibles Et De Gaz De Pétrole Liquéfié,Ed. 10,UL,"October 27, 2021",ulcanada,False,,Meters for Flammable And Combustible Liquids And Lp-Gas,Flammable And Combustible Liquids,Meters for Flammable And Combustible,Combustible Liquids And Lp-Gas,Flammable And Combustible,Combustible Liquids
25,Ansi/Can/Ul/Ulc Meters for Flammable And Combustible Liquids And Lp-Gas / Compteurs De Liquides Inflammables Et Combustibles Et De Gaz De Pétrole Liquéfié,Ed. 10,ULC,"October 27, 2021",canulc,False,,Ansi/Can/Ul/Ulc Meters for Flammable And Combustible Liquids And Lp-Gas,Ulc Meters for Flammable,Meters for Flammable And Combustible,Flammable And Combustible Liquids,Combustible Liquids And Lp-Gas,Ulc Meters
25A,Meters for Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Ed. 1,UL,"July 30, 2014",ulstd,True,,Meters for Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Blends With Nominal Ethanol Concentrations,Ethanol Blends With Nominal Ethanol,Ethanol Blends With Nominal,Blends With Nominal Ethanol,Nominal Ethanol Concentrations
25B,"Meters for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Ed. 1,UL,"July 30, 2014",ulstd,True,,"Meters for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Blends With Nominal Biodiesel Concentrations,Biodiesel Blends With Nominal Biodiesel,Biodiesel Blends With Nominal,Blends With Nominal Biodiesel,Nominal Biodiesel Concentrations
30,Metallic And Nonmetallic Safety Cans for Flammable And Combustible Liquids / Les Bidons De Sécurité Métalliques Et Non Métalliques Pour Liquides Inflammables Et Combustibles,Ed. 10,UL,"April 29, 2022",ulcanada,False,,Metallic And Nonmetallic Safety Cans for Flammable And Combustible Liquids,Flammable And Combustible Liquids,Nonmetallic Safety Cans for Flammable,Metallic And Nonmetallic Safety,Combustible Liquids,Nonmetallic Safety
30,Metallic And Nonmetallic Safety Cans for Flammable And Combustible Liquids / Les Bidons De Sécurité Métalliques Et Non Métalliques Pour Liquides Inflammables Et Combustibles,Ed. 10,ULC,"April 29, 2022",ulc,False,,Metallic And Nonmetallic Safety Cans for Flammable And Combustible Liquids,Flammable And Combustible Liquids,Nonmetallic Safety Cans for Flammable,Metallic And Nonmetallic Safety,Combustible Liquids,Nonmetallic Safety
32,Standard for Metal Waste Cans,Ed. 5,UL,"September 29, 1994",ulstd,True,Standard,Metal Waste Cans,Metal Waste,Waste,Metal,,
33,Heat Responsive Links for Fire-Protection Service / Liens Sensibles À La Chaleur Pour Le Service De Protection Contre Les Incendies,Ed. 9,UL,"June 21, 2021",ulstd,False,,Heat Responsive Links for Fire-Protection Service,Responsive Links for Fire-Protection Service,Heat Responsive Links for Fire-Protection,Heat Responsive Links,Links for Fire-Protection Service,Responsive Links for Fire-Protection
33,Heat Responsive Links for Fire-Protection Service / Liens Sensibles À La Chaleur Pour Le Service De Protection Contre Les Incendies,Ed. 9,ULC,"June 21, 2021",ululcanada,False,,Heat Responsive Links for Fire-Protection Service,Responsive Links for Fire-Protection Service,Heat Responsive Links for Fire-Protection,Heat Responsive Links,Links for Fire-Protection Service,Responsive Links for Fire-Protection
38,Standard for Manual Signaling Boxes for Fire Alarm Systems,Ed. 8,UL,"July 03, 2008",ulstd,True,Standard,Manual Signaling Boxes for Fire Alarm Systems,Boxes for Fire Alarm Systems,Signaling Boxes for Fire Alarm,Manual Signaling Boxes for Fire,Fire Alarm Systems,Signaling Boxes for Fire
44,Thermoset-Insulated Wires And Cables,Ed. 19,UL,"January 09, 2018",ulcsance,True,,Thermoset-Insulated Wires And Cables,Thermoset-Insulated Wires And Cables,Wires And Cables,Thermoset-Insulated Wires,Cables,Wires
47,Standard for Semiautomatic Fire Hose Storage Devices,Ed. 6,UL,"April 27, 2004",ulstd,True,Standard,Semiautomatic Fire Hose Storage Devices,Semiautomatic Fire Hose Storage Devices,Fire Hose Storage Devices,Semiautomatic Fire Hose Storage,Hose Storage Devices,Fire Hose Storage
47,Semiautomatic Fire Hose Storage Devices,Ed. 7,UL,"March 03, 2023",ulstd,True,,Semiautomatic Fire Hose Storage Devices,Semiautomatic Fire Hose Storage Devices,Fire Hose Storage Devices,Semiautomatic Fire Hose Storage,Hose Storage Devices,Fire Hose Storage
47,Preliminary Standard for Fire Hose Rack Assemblies,Ed. 1,ULC,"July 01, 1973",,True,Preliminary Standard,Fire Hose Rack Assemblies,Fire Hose Rack Assemblies,Hose Rack Assemblies,Fire Hose Rack,Rack Assemblies,Hose Rack
48,Standard for Electric Signs,Ed. 15,UL,"September 02, 2011",ulstd,True,Standard,Electric Signs,Electric Signs,Signs,Electric,,
50,"Enclosures for Electrical Equipment, Non-Environmental Considerations",Ed. 13,UL,"October 16, 2015",ulcsance,True,Enclosure,"Electrical Equipment, Non-Environmental Considerations",Electrical Equipment,Non-Environmental Considerations,Equipment,Considerations,Electrical
50E,"Enclosures for Electrical Equipment, Environmental Considerations",Ed. 3,UL,"October 15, 2020",ulcsance,True,Enclosure,"Electrical Equipment, Environmental Considerations",Environmental Considerations,Electrical Equipment,Equipment,Environmental,Considerations
50V,Outline of Investigation for Infrared Viewports,Ed. 2,UL,"October 11, 2019",outline,True,Outline,Investigation for Infrared Viewports,Investigation for Infrared Viewports,Infrared Viewports,Investigation for Infrared,Viewports,Infrared
51,Standard for Power-Operated Pumps for Anhydrous Ammonia And Lp-Gas,Ed. 10,UL,"May 31, 2013",ulstd,True,Standard,Power-Operated Pumps for Anhydrous Ammonia And Lp-Gas,Power-Operated Pumps for Anhydrous Ammonia,Pumps for Anhydrous Ammonia,Power-Operated Pumps for Anhydrous,Anhydrous Ammonia And Lp-Gas,Pumps for Anhydrous
55A,Standard for Materials for Built-Up Roof Coverings,Ed. 13,UL,"November 19, 2004",ulstd,True,Standard,Materials for Built-Up Roof Coverings,Materials for Built-Up Roof Coverings,Built-Up Roof Coverings,Materials for Built-Up Roof,Roof Coverings,Built-Up Roof
55A,Standard for Materials for Built-Up Roof Coverings,Ed. 14,UL,"March 10, 2008",,True,Standard,Materials for Built-Up Roof Coverings,Materials for Built-Up Roof Coverings,Built-Up Roof Coverings,Materials for Built-Up Roof,Roof Coverings,Built-Up Roof
58,Standard for Steel Underground Tanks for Flammable And Combustible Liquids,Ed. 10,UL,"January 31, 2018",ulstd,True,Standard,Steel Underground Tanks for Flammable And Combustible Liquids,Steel Underground Tanks for Flammable,Flammable And Combustible Liquids,Underground Tanks for Flammable,Tanks for Flammable And Combustible,Steel Underground Tanks
58.1,Jacketed Steel Underground Tanks for Flammable And Combustible Liquids,Ed. 1,ULC,"September 01, 2004",,True,,Jacketed Steel Underground Tanks for Flammable And Combustible Liquids,Steel Underground Tanks for Flammable,Jacketed Steel Underground Tanks,Flammable And Combustible Liquids,Steel Underground Tanks,Underground Tanks for Flammable
58.2,Special Corrosion Protection Underground Tanks for Flammable And Combustible Liquids,Ed. 1,ULC,"September 01, 2004",,True,,Special Corrosion Protection Underground Tanks for Flammable And Combustible Liquids,Special Corrosion Protection Underground Tanks,Corrosion Protection Underground Tanks,Protection Underground Tanks for Flammable,Special Corrosion Protection Underground,Flammable And Combustible Liquids
58.9,Secondary Containment Liners for Underground And Aboveground Flammable And Combustible Liquid Tanks,Ed. 1,ULC,"September 01, 2004",,True,,Secondary Containment Liners for Underground And Aboveground Flammable And Combustible Liquid Tanks,Flammable And Combustible Liquid Tanks,Aboveground Flammable And Combustible Liquid,Secondary Containment Liners for Underground,Combustible Liquid Tanks,Containment Liners for Underground
58.15,Overfill Protection Devices for Flammable Liquid Storage Tanks,Ed. 1,ULC,"September 01, 2004",,True,,Overfill Protection Devices for Flammable Liquid Storage Tanks,Flammable Liquid Storage Tanks,Protection Devices for Flammable Liquid,Devices for Flammable Liquid Storage,Overfill Protection Devices for Flammable,Liquid Storage Tanks
62,Flexible Cords And Cables,Ed. 20,UL,"July 06, 2018",ulcsance,True,,Flexible Cords And Cables,Flexible Cords And Cables,Cords And Cables,Flexible Cords,Cables,Cords
63,Outline of Investigation for Fire Door Frames,Ed. 4,UL,"May 20, 2003",outline,True,Outline,Investigation for Fire Door Frames,Investigation for Fire Door Frames,Fire Door Frames,Investigation for Fire Door,Door Frames,Fire Door
63,Outline of Investigation for Fire Door Frames,Ed. 5,UL,"April 07, 2023",outline,True,Outline,Investigation for Fire Door Frames,Investigation for Fire Door Frames,Fire Door Frames,Investigation for Fire Door,Door Frames,Fire Door
66,Fixture Wire,Ed. 3,UL,"January 18, 2023",ulstd,True,,Fixture Wire,Fixture Wire,Wire,Fixture,,
67,Standard for Panelboards,Ed. 13,UL,"May 15, 2018",ulstd,True,Standard,Panelboards,Panelboards,,,,
69,Standard for Electric-Fence Controllers,Ed. 10,UL,"June 30, 2009",ulstd,True,Standard,Electric-Fence Controllers,Electric-Fence Controllers,Controllers,Electric-Fence,,
70,"Standard for Septic Tanks, Bituminous Coated Metal",Ed. 7,UL,"August 29, 2001",ulstd,True,Standard,"Septic Tanks, Bituminous Coated Metal",Bituminous Coated Metal,Bituminous Coated,Coated Metal,Septic Tanks,Tanks
72,Standard for Tests for Fire Resistance of Record Protection Equipment,Ed. 16,UL,"April 07, 2015",ulstd,True,Standard for Test,Fire Resistance of Record Protection Equipment,Resistance of Record Protection Equipment,Fire Resistance of Record Protection,Record Protection Equipment,Resistance of Record Protection,Fire Resistance of Record
72,Tests for Fire Resistance of Record Protection Equipment,Ed. 1,ULC,"April 01, 1992",,True,Test,Fire Resistance of Record Protection Equipment,Resistance of Record Protection Equipment,Fire Resistance of Record Protection,Record Protection Equipment,Resistance of Record Protection,Fire Resistance of Record
73,Standard for Motor-Operated Appliances,Ed. 10,UL,"March 02, 2011",ulstd,True,Standard,Motor-Operated Appliances,Motor-Operated Appliances,Appliances,Motor-Operated,,
75,Outline of Investigation for Portable Containers And Tanks for Flammable And/Or Combustible Liquids,Ed. 1,UL,"December 18, 2014",outline,True,Outline,Investigation for Portable Containers And Tanks for Flammable And/Or Combustible Liquids,Portable Containers And Tanks,Containers And Tanks for Flammable,Investigation for Portable Containers,Combustible Liquids,Portable Containers
79,Standard for Power-Operated Pumps for Petroleum Dispensing Products,Ed. 10,UL,"April 29, 2016",ulstd,True,Standard,Power-Operated Pumps for Petroleum Dispensing Products,Pumps for Petroleum Dispensing Products,Power-Operated Pumps for Petroleum Dispensing,Petroleum Dispensing Products,Pumps for Petroleum Dispensing,Power-Operated Pumps for Petroleum
79.1,Manual Pumps for Use With Liquid Petroleum Fuels,Ed. 1,ULC,"January 04, 2004",,True,,Manual Pumps for Use With Liquid Petroleum Fuels,Liquid Petroleum Fuels,Petroleum Fuels,Pumps for Use With Liquid,Liquid Petroleum,Manual Pumps
79A,Power-Operated Pumps for Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Ed. 1,UL,"February 11, 2015",ulstd,True,,Power-Operated Pumps for Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Blends With Nominal Ethanol Concentrations,Ethanol Blends With Nominal Ethanol,Blends With Nominal Ethanol,Ethanol Blends With Nominal,Nominal Ethanol Concentrations
79B,"Power-Operated Pumps for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Ed. 1,UL,"February 11, 2015",ulstd,True,,"Power-Operated Pumps for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Blends With Nominal Biodiesel Concentrations,Biodiesel Blends With Nominal Biodiesel,Power-Operated Pumps for Diesel Fuel,Biodiesel Blends With Nominal,Blends With Nominal Biodiesel
80,Standard for Steel Tanks for Oil-Burner Fuels And Other Combustible Liquids,Ed. 12,UL,"September 21, 2007",ulstd,True,Standard,Steel Tanks for Oil-Burner Fuels And Other Combustible Liquids,Steel Tanks for Oil-Burner Fuels,Fuels And Other Combustible Liquids,Tanks for Oil-Burner Fuels,Oil-Burner Fuels And Other Combustible,Steel Tanks for Oil-Burner
82,Standard for Electric Gardening Appliances,Ed. 9,UL,"August 31, 2017",ulstd,True,Standard,Electric Gardening Appliances,Electric Gardening Appliances,Gardening Appliances,Electric Gardening,Appliances,Gardening
83,Thermoplastic-Insulated Wires And Cables,Ed. 16,UL,"July 28, 2017",ulcsance,True,,Thermoplastic-Insulated Wires And Cables,Thermoplastic-Insulated Wires And Cables,Wires And Cables,Thermoplastic-Insulated Wires,Cables,Wires
83A,Fluoropolymer Insulated Wire,Ed. 1,UL,"February 01, 2016",ulstd,True,,Fluoropolymer Insulated Wire,Fluoropolymer Insulated Wire,Insulated Wire,Fluoropolymer Insulated,Wire,Insulated
83B,Switchboard And Switchgear Wires And Cables,Ed. 1,UL,"October 15, 2020",ulstd,True,,Switchboard And Switchgear Wires And Cables,Switchgear Wires And Cables,Switchboard And Switchgear Wires,Wires And Cables,Switchgear Wires,Switchboard And Switchgear
87,Standard for Power-Operated Dispensing Devices for Petroleum Products,Ed. 12,UL,"March 24, 2016",ulstd,True,Standard,Power-Operated Dispensing Devices for Petroleum Products,Dispensing Devices for Petroleum Products,Power-Operated Dispensing Devices for Petroleum,Devices for Petroleum Products,Dispensing Devices for Petroleum,Power-Operated Dispensing Devices
87A,Standard for Power-Operated Dispensing Devices for Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Ed. 1,UL,"February 13, 2015",ulstd,True,Standard,Power-Operated Dispensing Devices for Gasoline And Gasoline/Ethanol Blends With Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Blends With Nominal Ethanol Concentrations,Ethanol Blends With Nominal Ethanol,Power-Operated Dispensing Devices for Gasoline,Power-Operated Dispensing Devices,Blends With Nominal Ethanol
87B,"Power-Operated Dispensing Devices for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Ed. 1,UL,"February 13, 2015",ulstd,True,,"Power-Operated Dispensing Devices for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, And Fuel Oil",Blends With Nominal Biodiesel Concentrations,Biodiesel Blends With Nominal Biodiesel,Power-Operated Dispensing Devices for Diesel,Dispensing Devices for Diesel Fuel,Power-Operated Dispensing Devices
87C,Outline of Investigation for Power-Operated Dispensing Devices for Diesel Exhaust Fluid,Ed. 6,UL,"March 26, 2020",outline,True,Outline,Investigation for Power-Operated Dispensing Devices for Diesel Exhaust Fluid,Devices for Diesel Exhaust Fluid,Dispensing Devices for Diesel Exhaust,Power-Operated Dispensing Devices for Diesel,Investigation for Power-Operated Dispensing Devices,Diesel Exhaust Fluid
92,"Standard for Fire Extinguisher, Booster, And Noncollapsible Standpipe Hose And Hose Assemblies",Ed. 11,UL,"March 24, 2020",ulstd,True,Standard,"Fire Extinguisher, Booster, And Noncollapsible Standpipe Hose And Hose Assemblies",Standpipe Hose And Hose Assemblies,Noncollapsible Standpipe Hose And Hose,Noncollapsible Standpipe Hose,Hose And Hose Assemblies,Standpipe Hose And Hose
94,Standard for Tests for Flammability of Plastic Materials for Parts In Devices And Appliances,Ed. 6,UL,"March 28, 2013",ulstd,True,Standard for Test,Flammability of Plastic Materials for Parts In Devices And Appliances,Parts In Devices And Appliances,Plastic Materials for Parts,Materials for Parts In Devices,Flammability of Plastic Materials,Devices And Appliances
94,Tests for Flammability of Plastic Materials for Parts In Devices And Appliances,Ed. 7,UL,"February 28, 2023",ulstd,True,Test,Flammability of Plastic Materials for Parts In Devices And Appliances,Parts In Devices And Appliances,Plastic Materials for Parts,Materials for Parts In Devices,Flammability of Plastic Materials,Devices And Appliances
96,Ansi/Can/Ul Standard for Lightning Protection Components / Standard for Composants De Protection Contre La Foudre,Ed. 6,UL,"June 30, 2016",ulstd,True,Ansi/Can/Ul Standard,Lightning Protection Components / Standard for Composants De Protection Contre La Foudre,Protection Contre La Foudre,Lightning Protection Components,Standard for Composants De Protection,Composants De Protection Contre,Standard for Composants
96A,Standard for Installation Requirements for Lightning Protection Systems,Ed. 13,UL,"March 18, 2016",ulstd,True,Standard for Installation Requirement,Lightning Protection Systems,Lightning Protection Systems,Protection Systems,Lightning Protection,Systems,Protection
98,Enclosed And Dead-Front Switches,Ed. 14,UL,"February 12, 2016",ulcsance,True,,Enclosed And Dead-Front Switches,Enclosed And Dead-Front Switches,Dead-Front Switches,Enclosed And Dead-Front,Switches,Enclosed
98A,Outline of Investigation for Open Type Switches,Ed. 2,UL,"July 11, 2014",outline,True,Outline,Investigation for Open Type Switches,Investigation for Open Type Switches,Open Type Switches,Investigation for Open Type,Type Switches,Open Type
98B,Outline of Investigation for Enclosed And Dead-Front Switches for Use In Photovoltaic Systems,Ed. 3,UL,"February 04, 2015",outline,True,Outline,Investigation for Enclosed And Dead-Front Switches for Use In Photovoltaic Systems,Enclosed And Dead-Front Switches,Investigation for Enclosed And Dead-Front,Photovoltaic Systems,Investigation for Enclosed,Enclosed And Dead-Front
98C,"Outline of Investigation for Enclosed And Dead-Front Switches, 650 - 1000 Volts",Ed. 1,UL,"April 03, 2017",outline,True,Outline,"Investigation for Enclosed And Dead-Front Switches, 650 - 1000 Volts",Enclosed And Dead-Front Switches,Investigation for Enclosed And Dead-Front,Investigation for Enclosed,Dead-Front Switches,Volts
101,Standard for Leakage Current for Utilization Equipment,Ed. 6,UL,"July 31, 2017",ulstd,True,Standard,Leakage Current for Utilization Equipment,Leakage Current for Utilization Equipment,Current for Utilization Equipment,Leakage Current for Utilization,Utilization Equipment,Current for Utilization
101,Standard Methods of Fire Endurance Tests of Building Construction And Materials / Méthodes D'Essai Normalisées De Résistance Au Feu Pour Les Bâtiments Et Les Matériaux De Construction,Ed. 5,ULC,"June 01, 2014",canulc,False,Standard Methods of Fire Endurance Test,Building Construction And Materials,Building Construction And Materials,Construction And Materials,Building Construction,Materials,Construction
101,Standard Methods of Fire Endurance Tests of Building Construction And Materials / Méthode Normalisée Des Essais De Comportement Au Feu Des Murs Extérieurs,Ed. 5,ULC,"June 01, 2014",canulc,False,Standard Methods of Fire Endurance Test,Building Construction And Materials,Building Construction And Materials,Construction And Materials,Building Construction,Materials,Construction
102,Method of Test for Surface Burning Characteristics of Building Materials And Assemblies,Ed. 7,ULC,"July 01, 2010",,True,Method of Test,Surface Burning Characteristics of Building Materials And Assemblies,Burning Characteristics of Building Materials,Surface Burning Characteristics of Building,Building Materials And Assemblies,Burning Characteristics of Building,Characteristics of Building Materials
102,Method of Test for Surface Burning Characteristics of Building Materials And Assemblies,Ed. 8,ULC,"June 01, 2018",canulc,True,Method of Test,Surface Burning Characteristics of Building Materials And Assemblies,Burning Characteristics of Building Materials,Surface Burning Characteristics of Building,Building Materials And Assemblies,Burning Characteristics of Building,Characteristics of Building Materials
102,Standard Method of Test for Surface Burning Characteristics of Building Materials And Assemblies / Méthode D'Essai Normalisée Caractéristiques De Combustion Superficielle Des Matériaux De Construction Et Assemblages,Ed. 8,ULC,"June 01, 2018",canulc,False,Standard Method of Test,Surface Burning Characteristics of Building Materials And Assemblies,Burning Characteristics of Building Materials,Surface Burning Characteristics of Building,Building Materials And Assemblies,Burning Characteristics of Building,Characteristics of Building Materials
102.2,"Method of Test for Surface Burning Characteristics of Flooring, Floor Coverings, And Miscellaneous Materials And Assemblies Méthode D'Essai Normalisée Caractéristiques De Combustion Superficielle Des Revêtements De Sol Et Des Divers Matériaux Et Assemblages",Ed. 7,ULC,"July 01, 2010",,False,Method of Test,"Surface Burning Characteristics of Flooring, Floor Coverings, And Miscellaneous Materials And Assemblies Méthode D'Essai Normalisée Caractéristiques De Combustion Superficielle Des Revêtements De Sol Et Des Divers Matériaux Et Assemblages",Assemblies Méthode D'Essai Normalisée Caractéristiques,Surface Burning Characteristics of Flooring,Des Divers Matériaux Et Assemblages,Miscellaneous Materials And Assemblies Méthode,Normalisée Caractéristiques De Combustion Superficielle
