Standard_Number,Description,Label,Catalog,Edition_Date,Type
30,Metallic and Nonmetallic Safety Cans for Flammable and Combustible Liquids / Les bidons de sécurité métalliques et non métalliques pour liquides inflammables et combustibles,Ed. 10,UL,"April 29, 2022",ulcanada
30,Metallic and Nonmetallic Safety Cans for Flammable and Combustible Liquids / Les bidons de sécurité métalliques et non métalliques pour liquides inflammables et combustibles,Ed. 10,ULC,"April 29, 2022",ulc
32,Standard for Metal Waste Cans,Ed. 5,UL,"September 29, 1994",ulstd
33,Heat Responsive Links for Fire-Protection Service / LIENS SENSIBLES À LA CHALEUR POUR LE SERVICE DE PROTECTION CONTRE LES INCENDIES,Ed. 9,UL,"June 21, 2021",ulstd
33,Heat Responsive Links for Fire-Protection Service / LIENS SENSIBLES À LA CHALEUR POUR LE SERVICE DE PROTECTION CONTRE LES INCENDIES,Ed. 9,ULC,"June 21, 2021",ululcanada
38,Standard for Manual Signaling Boxes for Fire Alarm Systems,Ed. 8,UL,"July 03, 2008",ulstd
44,Thermoset-Insulated Wires and Cables,Ed. 19,UL,"January 09, 2018",ulcsance
47,Standard for Semiautomatic Fire Hose Storage Devices,Ed. 6,UL,"April 27, 2004",ulstd
47,Semiautomatic Fire Hose Storage Devices,Ed. 7,UL,"March 03, 2023",ulstd
47,Preliminary Standard for Fire Hose Rack Assemblies,Ed. 1,ULC,"July 01, 1973",
48,Standard for Electric Signs,Ed. 15,UL,"September 02, 2011",ulstd
50,"Enclosures for Electrical Equipment, Non-Environmental Considerations",Ed. 13,UL,"October 16, 2015",ulcsance
50E,"Enclosures for Electrical Equipment, Environmental Considerations",Ed. 3,UL,"October 15, 2020",ulcsance
50V,Outline of Investigation for Infrared Viewports,Ed. 2,UL,"October 11, 2019",outline
51,Standard for Power-Operated Pumps for Anhydrous Ammonia and LP-Gas,Ed. 10,UL,"May 31, 2013",ulstd
55A,Standard for Materials for Built-Up Roof Coverings,Ed. 13,UL,"November 19, 2004",ulstd
55A,Standard for Materials for Built-Up Roof Coverings,Ed. 14,UL,"March 10, 2008",
58,Standard for Steel Underground Tanks for Flammable and Combustible Liquids,Ed. 10,UL,"January 31, 2018",ulstd
58.1,Jacketed Steel Underground Tanks for Flammable and Combustible Liquids,Ed. 1,ULC,"September 01, 2004",
58.2,Special Corrosion Protection Underground Tanks for Flammable and Combustible Liquids,Ed. 1,ULC,"September 01, 2004",
58.9,Secondary Containment Liners for Underground and Aboveground Flammable and Combustible Liquid Tanks,Ed. 1,ULC,"September 01, 2004",
58.15,Overfill Protection Devices for Flammable Liquid Storage Tanks,Ed. 1,ULC,"September 01, 2004",
62,Flexible Cords and Cables,Ed. 20,UL,"July 06, 2018",ulcsance
63,Outline of Investigation for Fire Door Frames,Ed. 4,UL,"May 20, 2003",outline
63,Outline of Investigation for Fire Door Frames,Ed. 5,UL,"April 07, 2023",outline
66,Fixture Wire,Ed. 3,UL,"January 18, 2023",ulstd
67,Standard for Panelboards,Ed. 13,UL,"May 15, 2018",ulstd
69,Standard for Electric-Fence Controllers,Ed. 10,UL,"June 30, 2009",ulstd
70,"Standard for Septic Tanks, Bituminous Coated Metal",Ed. 7,UL,"August 29, 2001",ulstd
72,Standard for Tests for Fire Resistance of Record Protection Equipment,Ed. 16,UL,"April 07, 2015",ulstd
72,Tests for Fire Resistance of Record Protection Equipment,Ed. 1,ULC,"April 01, 1992",
73,Standard for Motor-Operated Appliances,Ed. 10,UL,"March 02, 2011",ulstd
75,Outline of Investigation for Portable Containers and Tanks for Flammable and/or Combustible Liquids,Ed. 1,UL,"December 18, 2014",outline
79,Standard for Power-Operated Pumps for Petroleum Dispensing Products,Ed. 10,UL,"April 29, 2016",ulstd
79.1,Manual Pumps For Use With Liquid Petroleum Fuels,Ed. 1,ULC,"January 04, 2004",
79A,Power-Operated Pumps for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85),Ed. 1,UL,"February 11, 2015",ulstd
79B,"Power-Operated Pumps for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",Ed. 1,UL,"February 11, 2015",ulstd
80,Standard for Steel Tanks for Oil-Burner Fuels and Other Combustible Liquids,Ed. 12,UL,"September 21, 2007",ulstd
82,Standard for Electric Gardening Appliances,Ed. 9,UL,"August 31, 2017",ulstd
83,Thermoplastic-Insulated Wires and Cables,Ed. 16,UL,"July 28, 2017",ulcsance
83A,Fluoropolymer Insulated Wire,Ed. 1,UL,"February 01, 2016",ulstd
83B,Switchboard and Switchgear Wires and Cables,Ed. 1,UL,"October 15, 2020",ulstd
87,Standard for Power-Operated Dispensing Devices for Petroleum Products,Ed. 12,UL,"March 24, 2016",ulstd
87A,Standard for Power-Operated Dispensing Devices for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85),Ed. 1,UL,"February 13, 2015",ulstd
87B,"Power-Operated Dispensing Devices for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",Ed. 1,UL,"February 13, 2015",ulstd
87C,Outline of Investigation for Power-Operated Dispensing Devices for Diesel Exhaust Fluid,Ed. 6,UL,"March 26, 2020",outline
92,"Standard for Fire Extinguisher, Booster, and Noncollapsible Standpipe Hose and Hose Assemblies",Ed. 11,UL,"March 24, 2020",ulstd
94,Standard for Tests for Flammability of Plastic Materials for Parts in Devices and Appliances,Ed. 6,UL,"March 28, 2013",ulstd
94,Tests for Flammability of Plastic Materials for Parts in Devices and Appliances,Ed. 7,UL,"February 28, 2023",ulstd
96,ANSI/CAN/UL Standard for Lightning Protection Components / Standard for Composants de protection contre la foudre,Ed. 6,UL,"June 30, 2016",ulstd
96A,Standard for Installation Requirements for Lightning Protection Systems,Ed. 13,UL,"March 18, 2016",ulstd
98,Enclosed and Dead-Front Switches,Ed. 14,UL,"February 12, 2016",ulcsance
98A,Outline of Investigation for Open Type Switches,Ed. 2,UL,"July 11, 2014",outline
98B,Outline of Investigation for Enclosed and Dead-front Switches for use in Photovoltaic Systems,Ed. 3,UL,"February 04, 2015",outline
98C,"Outline of Investigation for Enclosed and Dead-Front Switches, 650 - 1000 Volts",Ed. 1,UL,"April 03, 2017",outline
101,Standard for Leakage Current for Utilization Equipment,Ed. 6,UL,"July 31, 2017",ulstd
101,STANDARD METHODS OF FIRE ENDURANCE TESTS OF BUILDING CONSTRUCTION AND MATERIALS / MÉTHODES D'ESSAI NORMALISÉES DE RÉSISTANCE AU FEU POUR LES BÂTIMENTS ET LES MATÉRIAUX DE CONSTRUCTION,Ed. 5,ULC,"June 01, 2014",canulc
101,STANDARD METHODS OF FIRE ENDURANCE TESTS OF BUILDING CONSTRUCTION AND MATERIALS / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXTÉRIEURS,Ed. 5,ULC,"June 01, 2014",canulc
102,Method of Test for Surface Burning Characteristics of Building Materials and Assemblies,Ed. 7,ULC,"July 01, 2010",
102,Method of Test for Surface Burning Characteristics of Building Materials and Assemblies,Ed. 8,ULC,"June 01, 2018",canulc
102,STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF BUILDING MATERIALS AND ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE CARACTÉRISTIQUES DE COMBUSTION SUPERFICIELLE DES MATÉRIAUX DE CONSTRUCTION ET ASSEMBLAGES,Ed. 8,ULC,"June 01, 2018",canulc
102.2,"Method of Test for Surface Burning Characteristics of Flooring, Floor Coverings, and Miscellaneous Materials and Assemblies Méthode d'essai normalisée caractéristiques de combustion superficielle des revêtements de sol et des divers matériaux et assemblages",Ed. 7,ULC,"July 01, 2010",
102.2,"STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF FLOORING, FLOOR COVERINGS, AND MISCELLANEOUS MATERIALS AND ASSEMBLIES",Ed. 8,ULC,"June 01, 2018",canulc
102.2,"STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF FLOORING, FLOOR COVERINGS, AND MISCELLANEOUS MATERIALS AND ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE CARACTÉRISTIQUES DE COMBUSTION SUPERFICIELLE DES REVÊTEMENTS DE SOL ET DES DIVERS MATÉRIAUX ET ASSEMBLAGES",Ed. 8,ULC,"June 01, 2018",canulc
102.3,Standard Method of Fire Test of Light Diffusers and Lenses / Standard Method of Fire Test of Light Diffusers and Lenses,Ed. 3,ULC,"August 01, 2007",canulc
102.3,STANDARD METHOD OF FIRE TEST OF LIGHT DIFFUSERS AND LENSES / Standard Method of Fire Test of Light Diffusers and Lenses,Ed. 4,ULC,"June 01, 2018",canulc
102.4,"STANDARD METHOD OF TEST FOR FIRE AND SMOKE CHARACTERISTICS OF ELECTRICAL WIRING, CABLES AND NON-METALLIC RACEWAYS / MÉTHODE D'ESSAI NORMALISÉE CARACTÉRISTIQUES DE RÉSISTANCE AU FEU ET À LA FUMÉE DES FILS ET CÂBLES ÉLECTRIQUES ET DES CANALISATIONS NON MÉTALLIQUES",Ed. 4,ULC,"September 01, 2017",ulc
103,Standard for Factory-Built Chimneys for Residential Type and Building Heating Appliances,Ed. 11,UL,"October 15, 2010",ulstd
103,"Standard Specification For ""Tin-Clad"" Fire Doors Meeting The Performance Required By CAN/ULC-S104 / SPÉCIFICATION NORMALISÉE POUR PORTES COUPE-FEU À REVÊTEMENT MÉTALLIQUE SATISFAISANT AUX EXIGENCES DE LA NORME CAN/ULC-S104",Ed. 4,ULC,"February 01, 2016",canulc
103A,Masonry Fireplace Adapters for Residential Type and Building Heating Appliance Chimneys,Ed. 1,UL,"May 26, 2005",outline
104,Standard for Elevator Door Locking Devices and Contacts,Ed. 11,UL,"February 26, 2016",ulstd
104,STANDARD METHOD FOR FIRE TESTS OF DOOR ASSEMBLIES / MÉTHODE NORMALISÉE DES ESSAIS DE RÉSISTANCE AU FEU DES PORTES,Ed. 4,ULC,"August 01, 2015",canulc
105,STANDARD SPECIFICATION FOR FIRE DOOR FRAMES MEETING THE PERFORMANCE REQUIRED BY CAN/ULC-S104 / NORME SUR LES CADRES DE PORTE COUPE-FEU SATISFAISANT AUX EXIGENCES DE RENDEMENT DE LA NORME CAN/ULC-S104,Ed. 4,ULC,"February 01, 2016",canulc
106,STANDARD METHOD FOR FIRE TESTS OF WINDOW AND GLASS BLOCK ASSEMBLIES / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES FENÊTRES ET DES BRIQUES DE VERRE,Ed. 3,ULC,"August 01, 2015",canulc
107,Methods of Fire Tests of Roof Coverings,Ed. 3,ULC,"June 01, 2010",canulc
107,STANDARD METHODS OF FIRE TESTS OF ROOF COVERINGS / MÉTHODES NORMALISÉES D'ESSAI DE RÉSISTANCE AU FEU DES MATÉRIAUX DE COUVERTURE,Ed. 4,ULC,"March 28, 2019",canulc
109,"Standard for Tube Fittings for Flammable and Combustible Fluids, Refrigeration Service, and Marine Use",Ed. 6,UL,"June 19, 1997",ulstd
109,Flame Tests of Flame Resistant Fabrics and Films / Norme relative aux essais de comportement au feu des tissus et pellicules ininflammables,Ed. 1,ULC,"June 03, 2003",
109,STANDARD METHOD FOR FLAME TESTS OF FLAME-RESISTANT FABRICS AND FILMS / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES TISSUS ET PELLICULES ININFLAMMABLES,Ed. 3,ULC,"September 01, 2014",canulc
110,STANDARD METHODS OF TEST FOR AIR DUCTS / MÉTHODES NORMALISÉES D'ESSAI DES CONDUITS D'AIR,Ed. 3,ULC,"July 01, 2013",canulc
110,Standard for Sustainability for Mobile Phones,Ed. 2,UL Environment,"March 24, 2017",ule
111,Outline of Investigation for Multioutlet Assemblies,Ed. 8,UL,"January 09, 2023",outline
111,STANDARD METHOD OF FIRE TESTS FOR AIR FILTER UNITS,Ed. 5,ULC,"December 01, 2013",canulc
111,STANDARD METHOD OF FIRE TESTS FOR AIR FILTER UNITS / MÉTHODE D'ESSAI NORMALISÉE DE RÉSISTANCE AU FEU DES FILTRES,Ed. 5,ULC,"December 01, 2013",canulc
112,STANDARD METHOD OF FIRE TEST OF FIRE DAMPER ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE DE RÉSISTANCE AU FEU DES REGISTRES COUPE-FEU,Ed. 3,ULC,"June 01, 2010",canulc
112.1,STANDARD FOR LEAKAGE RATED DAMPERS FOR USE IN SMOKE CONTROL SYSTEMS / NORME SUR LES REGISTRES ÉTANCHES POUR SYSTÈMES DE DÉSENFUMAGE,Ed. 2,ULC,"July 01, 2010",canulc
112.2,STANDARD METHOD OF FIRE TEST OF CEILING FIRESTOP FLAP ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE DE COMPORTEMENT AU FEU DES CLAPETS COUPE-FEU SITUÉS DANS LES PLAFONDS,Ed. 2,ULC,"October 01, 2007",canulc
113,Procedure for the Preparation of a Toxicological Assessment,Ed. 1,UL Environment,"October 25, 2010",ule
113,Standard Specification for Wood Core Doors Meeting the Performance Required by CAN4-S104-77 for Twenty Minute Fire Rated Closure Assemblies,Ed. 3,ULC,"January 14, 2008",
113,STANDARD SPECIFICATION FOR WOOD CORE DOORS MEETING THE PERFORMANCE REQUIRED BY CAN/ULC-S104 FOR TWENTY MINUTE FIRE RATED CLOSURE ASSEMBLIES / SPÉCIFICATION DE NORME : PORTES À ÂME DE BOIS SATISFAISANT AUX EXIGENCES DE RENDEMENT DE CAN / ULC-S104 POUR LES DISPOSITIFS DE FERMETURE AYANT UN DEGRÉ DE RÉSISTANCE AU FEU DE VINGT MINUTES,Ed. 4,ULC,"February 01, 2016",canulc
114,Standard Method of Test for Determination of Non-Combustibility in Building Materials / Méthode d’essai normalisée pour la détermination de l’incombustibilité des matériaux de construction,Ed. 3,ULC,"July 01, 2005",
114,STANDARD METHOD OF TEST FOR DETERMINATION OF NON-COMBUSTIBILITY IN BUILDING MATERIALS / MÉTHODE D'ESSAI NORMALISÉE POUR LA DÉTERMINATION DE L'INCOMBUSTIBILITÉ DES MATÉRIAUX DE CONSTRUCTION,Ed. 4,ULC,"June 01, 2018",canulc
115,Standard Method of Fire Tests of Firestop Systems / Standard Method of Fire Tests of Firestop Systems,Ed. 4,ULC,"June 01, 2011",canulc
115,STANDARD METHOD OF FIRE TESTS OF FIRESTOP SYSTEMS / MÉTHODE NORMALISÉE D’ESSAIS DE RÉSISTANCE AU FEU DES DISPOSITIFS COUPE-FEU,Ed. 5,ULC,"June 01, 2018",canulc
115,Sustainability for Thermal Insulation,Ed. 1,UL Environment,"February 23, 2011",
118,Indoor Air Quality,Ed. 1,UL,"June 14, 2011",
118F,Managing Fire and Chemical Exposure Risks of Residential Upholstered Furniture,Ed. 1,Underwriters Laboratories Inc,"April 19, 2021",
119,"Outline of Investigation for Adapters, Fittings and Couplings for Anhydrous Ammonia and Fuel Gases",Ed. 5,UL,"January 06, 2021",outline
122,Standard for Photographic Equipment,Ed. 5,UL,"October 29, 2007",ulstd
123,Standard for Oxy-Fuel Gas Torches,Ed. 11,UL,"June 15, 2007",ulstd
124,Outline of Investigation for Hand-Operated Pumps for Flammable and Combustible Liquids and Battery Operated Pumps for Combustible Liquids,Ed. 5,UL,"October 11, 2022",outline
124,Outline of Investigation for Hand-Operated Pumps for Flammable and Combustible Liquids and Battery Operated Pumps for Combustible Liquids,Ed. 6,UL,"April 10, 2023",outline
124,Standard Method of Test for the Evaluation of Protective Coverings for Foamed Plastic / Méthode d’essai normalisée évaluation des revêtements protecteurs des mousses plastiques,Ed. 1,ULC,"August 01, 2006",
124,STANDARD METHOD OF TEST FOR THE EVALUATION OF THERMAL BARRIERS FOR FOAMED PLASTIC / MÉTHODE D'ESSAI NORMALISÉE POUR L'ÉVALUATION DES BARRIÈRES THERMIQUES DE LA MOUSSE PLASTIQUE,Ed. 3,ULC,"June 01, 2018",canulc
125,ANSI/CAN/UL/ULC Flow Control Valves for Anhydrous Ammonia and LP-Gas / Soupapes de régulation de débit pour l,Ed. 10,UL,"July 27, 2020",
125,Flow Control Valves for Anhydrous Ammonia and LP-Gas / Soupapes de régulation de débit pour l,Ed. 10,ULC,"July 27, 2020",ulc
126,STANDARD METHOD OF TEST FOR FIRE SPREAD UNDER ROOF-DECK ASSEMBLIES / MÉTHODE NORMALISÉE D'ESSAI DE PROPAGATION DES FLAMMES SOUS LES PLATELAGES DE TOITS,Ed. 3,ULC,"September 01, 2014",canulc
126,Standard for Sustainability for Plastic Film Products,Ed. 1,UL Environment,"May 01, 2012",ule
127,Standard for Factory-Built Fireplaces,Ed. 9,UL,"April 21, 2011",ulstd
127,STANDARD CORNER WALL METHOD OF TEST FOR FLAMMABILITY CHARACTERISTICS OF NON-MELTING FOAM PLASTIC BUILDING MATERIALS / MÉTHODE D'ESSAI NORMALISÉE D'ALLUMAGE EN COIN VISANT À DÉTERMINER LES CARACTÉRISTIQUES D'INFLAMMABILITÉ DES MATÉRIAUX DE CONSTRUCTION EN MOUSSE PLASTIQUE À L'ÉPREUVE DE LA FUSION,Ed. 6,ULC,"December 01, 2014",canulc
127.1,Composite Fire-Log Starters,Ed. 1,ULC,"September 01, 2004",
129,STANDARD METHOD OF TEST FOR SMOULDER RESISTANCE OF INSULATION (BASKET METHOD) / MÉTHODE NORMALISÉE D'ESSAI DE RÉSISTANCE À LA COMBUSTION LENTE DES ISOLANTS (MÉTHODE DU PANIER),Ed. 4,ULC,"August 01, 2015",
130,Standard for Electric Heating Pads,Ed. 13,UL,"July 15, 2011",ulstd
130,Standard Method of Test for Ignition Resistance of Loose Fill Insulation (Cigarette Method) / Standard Method of Test for Ignition Resistance of Loose Fill Insulation (Cigarette Method),Ed. 2,ULC,"August 01, 2009",canulc
130,STANDARD METHOD OF TEST FOR IGNITION RESISTANCE OF LOOSE FILL INSULATION (CIGARETTE METHOD) / MÉTHODE NORMALISÉE D'ESSAI DE RÉSISTANCE À L'ALLUMAGE DE L'ISOLANT THERMIQUE CELLULOSIQUE À BOURRAGE LÂCHE (MÉTHODE DE LA CIGARETTE),Ed. 3,ULC,"June 01, 2018",canulc
132,ANSI/CAN/UL Safety Relief Valves for Anhydrous Ammonia and LP-Gas / Soupapes de sécurité pour l'ammoniac anhydre et le GPL,Ed. 9,UL,"September 21, 2021",
132,STANDARD METHOD OF TESTS FOR EMERGENCY EXIT AND EMERGENCY FIRE EXIT HARDWARE / MÉTHODE D'ESSAI NORMALISÉE DES SERRURES ANTIPANIQUES DES ISSUES DE SECOURS ET DES PORTES COUPE-FEU,Ed. 3,ULC,"November 01, 2016",canulc
133,STANDARD METHOD OF TESTS FOR DOOR CLOSERS INTENDED FOR USE WITH SWINGING DOORS / MÉTHODE D'ESSAI NORMALISÉE SUR LES FERME-PORTES CONÇUS POUR ÊTRE UTILISÉS AVEC DES PORTES BATTANTES,Ed. 3,ULC,"February 01, 2016",canulc
134,STANDARD METHOD OF FIRE TEST OF EXTERIOR WALL ASSEMBLIES / MÉTHODE NORMALISCE DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXTÉRIEURS,Ed. 2,ULC,"October 14, 2013",canulc
134,STANDARD METHOD OF FIRE TEST OF EXTERIOR WALL ASSEMBLIES / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXTÉRIEURS,Ed. 2,ULC,"August 01, 2013",canulc
135,Standard Test Method for the Determination of Combustibility Parameters of Building Materials Using an Oxygen Consumption Calorimeter (Cone Calorimeter),Ed. 2,ULC,"July 01, 2004",
136,Standard for Pressure Cookers,Ed. 8,UL,"June 16, 2009",ulstd
136,STANDARD METHOD OF FIRE TEST OF SPRINKLER PROTECTED WINDOW SYSTEMS / MÉTHODE D'ESSAI NORMALISÉE DE COMPORTEMENT AU FEU DES FENÊTRES PROTÉGÉES PAR GICLEURS,Ed. 1,ULC,"April 21, 2021",canulc
137,STANDARD METHOD OF TEST FOR FIRE GROWTH OF MATTRESSES (OPEN FLAME TEST) / MÉTHODE D'ESSAI NORMALISÉE POUR LA PROPAGATION DU FEU SUR LES MATELAS (ESSAI À LA FLAMME NUE),Ed. 2,ULC,"August 01, 2017",canulc
138,STANDARD METHOD OF TEST FOR FIRE GROWTH OF INSULATED BUILDING PANELS IN A FULL-SCALE ROOM CONFIGURATION / MÉTHODE D'ESSAI NORMALISÉE DE LA PROPAGATION DU FEU DANS LES PANNEAUX DE CONSTRUCTION ISOLÉS D'UNE CONFIGURATION DE PIÈCES À L'ÉCHELLE RÉELLE,Ed. 1,ULC,"May 01, 2006",
138,Standard Method of Test for Fire Growth of Insulated Building Panels in a Full-Scale Room Configuration,Ed. 1,ULC,"May 01, 2006",canulc
139,Outline of Investigation for Medium- and High-Expansion Foam-Extinguishing System Equipment and Concentrates,Ed. 7,UL,"March 13, 2018",outline
139,"Standard for Fire Test for Circuit Integrity of Fire-Resistive Power, Instrumentation, Control, and Data Cables / Normes sur d’essai de résistance au feu pour l’évaluation de l’intégrité des circuits des câbles d’alimentation, de l’instrumentation, des contrôles et données",Ed. 3,ULC,"August 29, 2017",binat
1392,Outline of Investigation for Elevator Trailing Cable Support Hardware,Ed. 1,UL,"January 28, 2022",outline
1392,Outline of Investigation for Elevator Traveling Cable Support Hardware,Ed. 2,UL,"April 10, 2023",outline
140,Standard for Relocking Devices for Safes and Vaults,Ed. 11,UL,"October 27, 2006",ulstd
140,Guide for Investigation of Relocking Devices,Ed. 1,ULC,"September 01, 2004",
141,Standard for Garment Finishing Appliances,Ed. 9,UL,"March 30, 2011",ulstd
142,Standard for Steel Aboveground Tanks for Flammable and Combustible Liquids,Ed. 10,UL,"May 17, 2019",ulstd
142,STANDARD METHOD OF FIRE TEST FOR HEAT AND VISIBLE SMOKE RELEASE FOR DISCRETE PRODUCTS / MÉTHODE D'ESSAI NORMALISÉE DE COMPORTEMENT AU FEU POUR LA PRODUCTION DE CHALEUR ET DE FUMÉE VISIBLE DES PRODUITS DISCRETS,Ed. 1,ULC,"September 01, 2016",canulc
142.20,Secondary Containments for Aboveground Flammable and Combustible Liquid Storage Tanks,Ed. 1,ULC,"June 01, 1995",
142.5,Concrete Encased Steel Aboveground Tank Assemblies for Flammable and Combustible Liquids,Ed. 1,ULC,"September 01, 1992",
142.6,Storage Vaults,Ed. 1,ULC,"September 01, 2004",
142.14,Nonmetallic Bulk Containers For New Lubricating Oil,Ed. 1,ULC,"November 01, 2003",
142.17,Special Purpose Relocatable Aboveground Vertical Tanks for Flammable and Combustible Liquids,Ed. 1,ULC,"September 01, 2004",
142.19,Spill Containment Devices for Aboveground Flammable and Combustible Liquid Storage Tanks,Ed. 1,ULC,"September 01, 2004",
142A,Special Purpose Aboveground Tanks for Specific Flammable or Combustible Liquids,Ed. 1,UL,"May 25, 2018",ulstd
143,Standard Method of Fire Tests for Non-Metallic Electrical and Optical Fibre Cable Raceway Systems,Ed. 1,ULC,"July 01, 2009",
143,STANDARD METHOD OF FIRE TESTS FOR NON-METALLIC ELECTRICAL AND OPTICAL FIBRE CABLE RACEWAY SYSTEMS / MÉTHODE D'ESSAI NORMALISÉE DE COMPORTEMENT AU FEU DES SYSTÈMES DE CANALISATION NON MÉTALLIQUES POUR CÂBLES ÉLECTRIQUES ET À FIBRES OPTIQUES,Ed. 2,ULC,"November 01, 2014",canulc
144,LP-Gas Regulators / Régulateurs GPL,Ed. 9,UL,"January 22, 2021",ulcanada
144,Standard Method of Fire Resistance Test – Grease Duct Assemblies,Ed. 1,ULC,"April 01, 1975",
144,STANDARD METHOD OF FIRE RESISTANCE TEST - GREASE DUCT ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE DE RÉSISTANCE AU FEU - CONDUITS DE GRAISSE,Ed. 2,ULC,"July 01, 2017",canulc
